  , ,performance
recPoint=3,COCOME,4
recPoint=3,Ground Truth,1
recPoint=3,COCOME,7
recPoint=3,Ground Truth,24
recPoint=3,COCOME,1
recPoint=3,Ground Truth,15
recPoint=3,COCOME,19
recPoint=3,Ground Truth,34
recPoint=3,COCOME,1
recPoint=3,Ground Truth,9
recPoint=3,COCOME,2
recPoint=3,Ground Truth,25
recPoint=3,COCOME,4
recPoint=3,Ground Truth,1
recPoint=3,COCOME,5
recPoint=3,Ground Truth,12
recPoint=3,COCOME,16
recPoint=3,Ground Truth,30
recPoint=3,COCOME,10
recPoint=3,Ground Truth,31
recPoint=3,COCOME,6
recPoint=3,Ground Truth,3
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,6
recPoint=3,Ground Truth,3
recPoint=3,COCOME,10
recPoint=3,Ground Truth,21
recPoint=3,COCOME,1
recPoint=3,Ground Truth,6
recPoint=3,COCOME,8
recPoint=3,Ground Truth,26
recPoint=3,COCOME,2
recPoint=3,Ground Truth,2
recPoint=3,COCOME,3
recPoint=3,Ground Truth,2
recPoint=3,COCOME,3
recPoint=3,Ground Truth,7
recPoint=3,COCOME,19
recPoint=3,Ground Truth,7
recPoint=3,COCOME,3
recPoint=3,Ground Truth,5
recPoint=3,COCOME,13
recPoint=3,Ground Truth,19
recPoint=3,COCOME,2
recPoint=3,Ground Truth,6
recPoint=3,COCOME,4
recPoint=3,Ground Truth,4
recPoint=3,COCOME,1
recPoint=3,Ground Truth,12
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,4
recPoint=3,COCOME,8
recPoint=3,Ground Truth,2
recPoint=3,COCOME,2
recPoint=3,Ground Truth,4
recPoint=3,COCOME,1
recPoint=3,Ground Truth,3
recPoint=3,COCOME,2
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,4
recPoint=3,Ground Truth,1
recPoint=3,COCOME,7
recPoint=3,Ground Truth,36
recPoint=3,COCOME,2
recPoint=3,Ground Truth,1
recPoint=3,COCOME,25
recPoint=3,Ground Truth,10
recPoint=3,COCOME,2
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,3
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,31
recPoint=3,COCOME,19
recPoint=3,Ground Truth,9
recPoint=3,COCOME,6
recPoint=3,Ground Truth,26
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,3
recPoint=3,Ground Truth,1
recPoint=3,COCOME,48
recPoint=3,Ground Truth,60
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,11
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,14
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,2
recPoint=3,Ground Truth,3
recPoint=3,COCOME,4
recPoint=3,Ground Truth,3
recPoint=3,COCOME,4
recPoint=3,Ground Truth,2
recPoint=3,COCOME,31
recPoint=3,Ground Truth,39
recPoint=3,COCOME,27
recPoint=3,Ground Truth,44
recPoint=3,COCOME,4
recPoint=3,Ground Truth,23
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,24
recPoint=3,Ground Truth,27
recPoint=3,COCOME,2
recPoint=3,Ground Truth,2
recPoint=3,COCOME,21
recPoint=3,Ground Truth,44
recPoint=3,COCOME,1
recPoint=3,Ground Truth,18
recPoint=3,COCOME,8
recPoint=3,Ground Truth,13
recPoint=3,COCOME,5
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,18
recPoint=3,COCOME,8
recPoint=3,Ground Truth,3
recPoint=3,COCOME,13
recPoint=3,Ground Truth,2
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,6
recPoint=3,Ground Truth,4
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,15
recPoint=3,Ground Truth,40
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,2
recPoint=3,Ground Truth,6
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,2
recPoint=3,Ground Truth,27
recPoint=3,COCOME,7
recPoint=3,Ground Truth,1
recPoint=3,COCOME,18
recPoint=3,Ground Truth,31
recPoint=3,COCOME,1
recPoint=3,Ground Truth,7
recPoint=3,COCOME,3
recPoint=3,Ground Truth,3
recPoint=3,COCOME,17
recPoint=3,Ground Truth,36
recPoint=3,COCOME,12
recPoint=3,Ground Truth,20
recPoint=3,COCOME,2
recPoint=3,Ground Truth,2
recPoint=3,COCOME,7
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,5
recPoint=3,COCOME,11
recPoint=3,Ground Truth,14
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,7
recPoint=3,Ground Truth,2
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,1
recPoint=3,Ground Truth,3
recPoint=3,COCOME,5
recPoint=3,Ground Truth,11
recPoint=3,COCOME,4
recPoint=3,Ground Truth,6
recPoint=3,COCOME,1
recPoint=3,Ground Truth,3
recPoint=3,COCOME,1
recPoint=3,Ground Truth,1
recPoint=3,COCOME,2
recPoint=3,Ground Truth,6
recPoint=3,COCOME,1
recPoint=3,Ground Truth,3
recPoint=3,COCOME,23
recPoint=3,Ground Truth,33
recPoint=3,COCOME,1
recPoint=3,Ground Truth,2
recPoint=3,COCOME,1
recPoint=3,Ground Truth,7
recPoint=3,COCOME,4
recPoint=3,Ground Truth,4
recPoint=3,COCOME,13
recPoint=3,Ground Truth,5
recPoint=3,COCOME,1
recPoint=3,Ground Truth,5
recPoint=3,COCOME,8
recPoint=3,Ground Truth,13
recPoint=3,COCOME,1
recPoint=3,Ground Truth,6
recPoint=3,COCOME,2
recPoint=3,Ground Truth,9
recPoint=3,COCOME,10
recPoint=3,Ground Truth,26
recPoint=3,COCOME,13
recPoint=3,Ground Truth,19
recPoint=3,COCOME,18
recPoint=3,Ground Truth,27
recPoint=3,COCOME,2
recPoint=3,Ground Truth,6
recPoint=3,COCOME,4
recPoint=3,Ground Truth,1
recPoint=3,COCOME,2
recPoint=3,Ground Truth,1
recPoint=3,COCOME,1
recPoint=3,Ground Truth,15
recPoint=3,COCOME,2
recPoint=3,Ground Truth,7
recPoint=3,COCOME,1
recPoint=3,Ground Truth,5
recPoint=3,COCOME,5
